                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.70158,                 1.5097,                 1.0878,                  0.693,                0.61214,                0.69713,                0.61579,                0.52664,                 1.1303,                0.97528,               0.006634,               0.006634,               0.006634
                     37,                0.69484,                 1.4784,                 1.0836,                0.70197,                 0.6253,                0.69517,                0.61271,                0.52261,                 1.1387,                0.97047,               0.006535,               0.006535,               0.006535
                     38,                0.69835,                 1.4561,                 1.0864,                0.74361,                 0.6042,                0.70669,                0.62528,                0.50896,                 1.0944,                0.96058,               0.006436,               0.006436,               0.006436
                     39,                0.68193,                 1.4342,                 1.0772,                0.73705,                0.61762,                0.71134,                0.63435,                 0.5067,                 1.1011,                0.96069,               0.006337,               0.006337,               0.006337
                     40,                0.68131,                  1.407,                 1.0745,                0.74578,                0.62906,                0.72272,                0.64274,                0.50757,                 1.0727,                0.96059,               0.006238,               0.006238,               0.006238
                     41,                0.67409,                 1.3867,                 1.0702,                0.75001,                0.62254,                 0.7215,                0.64288,                0.50039,                 1.0573,                0.95526,               0.006139,               0.006139,               0.006139
                     42,                0.67228,                 1.3536,                 1.0669,                0.76599,                0.61964,                0.72524,                0.64437,                0.49587,                 1.0424,                0.95239,                0.00604,                0.00604,                0.00604
                     43,                0.66461,                 1.3414,                  1.069,                0.76878,                0.64958,                0.74406,                0.66472,                0.49245,                 1.0054,                0.94808,               0.005941,               0.005941,               0.005941
                     44,                 0.6553,                 1.3225,                 1.0581,                0.80407,                0.62117,                0.74194,                0.66271,                0.48931,                 1.0125,                0.94573,               0.005842,               0.005842,               0.005842
                     45,                0.66548,                 1.3076,                  1.065,                0.75161,                0.66567,                0.75549,                0.67785,                 0.4835,                0.99177,                0.94105,               0.005743,               0.005743,               0.005743
                     46,                0.65662,                 1.2891,                 1.0636,                0.77283,                0.65662,                0.75345,                0.67339,                 0.4892,                0.98425,                0.94974,               0.005644,               0.005644,               0.005644
                     47,                 0.6511,                 1.2586,                 1.0612,                0.78636,                0.66435,                0.76356,                0.68289,                0.48478,                0.96711,                0.94759,               0.005545,               0.005545,               0.005545
                     48,                 0.6446,                 1.2402,                 1.0531,                0.76334,                0.68005,                0.76513,                  0.687,                0.47571,                 0.9603,                 0.9422,               0.005446,               0.005446,               0.005446
                     49,                0.64013,                 1.2277,                 1.0509,                0.79092,                0.66964,                0.77026,                0.68984,                0.48153,                0.95055,                0.94519,               0.005347,               0.005347,               0.005347
                     50,                0.62787,                 1.2139,                 1.0479,                0.79834,                0.65931,                0.76948,                0.69158,                0.47841,                0.94152,                0.94655,               0.005248,               0.005248,               0.005248
                     51,                0.63231,                 1.2005,                  1.054,                0.77485,                0.67731,                0.77483,                0.69511,                0.47539,                0.93007,                0.94305,               0.005149,               0.005149,               0.005149
                     52,                0.62282,                 1.1748,                  1.044,                0.77215,                0.70073,                 0.7785,                0.69923,                0.46982,                0.91266,                0.93878,                0.00505,                0.00505,                0.00505
                     53,                0.62962,                 1.1645,                 1.0469,                0.79123,                0.69338,                0.78237,                0.70762,                0.46967,                0.91883,                0.93447,               0.004951,               0.004951,               0.004951
                     54,                0.62009,                  1.137,                 1.0404,                0.78761,                0.69639,                0.78514,                0.70986,                0.46517,                0.90744,                0.93225,               0.004852,               0.004852,               0.004852
                     55,                0.61678,                 1.1256,                 1.0419,                0.80747,                0.69286,                0.78677,                0.71224,                0.46319,                0.90493,                0.93411,               0.004753,               0.004753,               0.004753
                     56,                 0.6137,                 1.1148,                 1.0378,                0.81567,                0.69185,                0.78932,                0.71626,                0.46007,                0.87786,                0.93423,               0.004654,               0.004654,               0.004654
                     57,                0.61195,                 1.0903,                 1.0348,                0.81043,                0.69587,                0.79465,                0.71656,                0.46608,                0.88624,                0.93524,               0.004555,               0.004555,               0.004555
                     58,                0.60521,                 1.0672,                 1.0355,                0.79517,                0.70847,                  0.795,                0.71587,                0.46482,                0.88245,                0.93636,               0.004456,               0.004456,               0.004456
                     59,                0.59744,                 1.0684,                 1.0318,                 0.8353,                0.68701,                0.79993,                0.72351,                0.45881,                0.86946,                0.93165,               0.004357,               0.004357,               0.004357
                     60,                0.59822,                 1.0413,                 1.0286,                0.83027,                0.69094,                0.79975,                0.72519,                0.45079,                0.86693,                0.92555,               0.004258,               0.004258,               0.004258
                     61,                0.59205,                  1.031,                 1.0214,                0.82979,                0.70159,                0.80796,                0.73066,                0.45632,                0.84989,                0.92772,               0.004159,               0.004159,               0.004159
                     62,                0.59188,                 1.0215,                 1.0253,                0.81133,                0.71676,                0.80722,                0.73057,                0.45466,                0.84617,                0.92745,                0.00406,                0.00406,                0.00406
                     63,                0.58534,                0.99886,                 1.0183,                0.83894,                0.69983,                0.80535,                0.72733,                0.45872,                0.85489,                0.92888,               0.003961,               0.003961,               0.003961
                     64,                0.58408,                0.99599,                 1.0225,                0.84179,                0.70093,                0.81041,                0.73387,                0.45646,                0.85184,                  0.931,               0.003862,               0.003862,               0.003862
                     65,                0.58442,                0.97785,                   1.02,                0.83583,                 0.7039,                0.80408,                0.72882,                0.45149,                0.85284,                0.92535,               0.003763,               0.003763,               0.003763
                     66,                0.57565,                0.96271,                 1.0171,                0.82448,                0.71084,                0.80484,                0.73074,                0.45081,                0.84474,                0.92709,               0.003664,               0.003664,               0.003664
