                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.74975,                 1.5899,                 1.0788,                0.51371,                0.55853,                0.52043,                0.46157,                0.52814,                 1.5204,                0.96821,               0.008317,               0.008317,               0.008317
                     37,                0.75019,                 1.5776,                 1.0823,                0.51408,                 0.5485,                0.51871,                0.46144,                0.52364,                  1.525,                0.96581,              0.0082675,              0.0082675,              0.0082675
                     38,                0.74249,                 1.5442,                 1.0748,                0.54046,                0.53116,                0.52295,                0.46334,                0.53837,                 1.5137,                0.97121,               0.008218,               0.008218,               0.008218
                     39,                0.74372,                 1.5262,                 1.0768,                0.51491,                0.58417,                0.53011,                0.47259,                 0.5212,                 1.4865,                0.95931,              0.0081685,              0.0081685,              0.0081685
                     40,                0.73442,                 1.5169,                 1.0733,                0.56366,                0.53893,                0.53055,                0.47397,                0.50895,                 1.4896,                0.95481,               0.008119,               0.008119,               0.008119
                     41,                0.73802,                 1.4837,                 1.0736,                0.58186,                0.54033,                0.55051,                0.49201,                0.51621,                 1.4584,                0.95368,              0.0080695,              0.0080695,              0.0080695
                     42,                0.72681,                 1.4656,                 1.0669,                0.54422,                0.59881,                0.54779,                0.49167,                0.51023,                  1.459,                0.95387,                0.00802,                0.00802,                0.00802
                     43,                0.72873,                 1.4552,                 1.0677,                0.55632,                0.58782,                0.55389,                0.49538,                0.50773,                 1.4533,                0.94863,              0.0079705,              0.0079705,              0.0079705
                     44,                0.72502,                 1.4387,                 1.0629,                0.57101,                0.57037,                0.55305,                0.49764,                0.50073,                 1.4389,                 0.9438,               0.007921,               0.007921,               0.007921
                     45,                0.71902,                 1.4246,                 1.0658,                0.56999,                0.58397,                0.55628,                0.49991,                0.50281,                 1.4336,                0.94976,              0.0078715,              0.0078715,              0.0078715
                     46,                0.71643,                 1.4039,                 1.0634,                0.59325,                0.57812,                0.56482,                0.50883,                0.50154,                 1.4248,                0.95231,               0.007822,               0.007822,               0.007822
                     47,                0.71577,                 1.3813,                  1.062,                0.57462,                0.60576,                 0.5699,                0.51198,                0.49879,                 1.4306,                0.94492,              0.0077725,              0.0077725,              0.0077725
                     48,                0.71106,                  1.375,                 1.0578,                0.58387,                0.59015,                0.57031,                0.51527,                0.49831,                 1.4227,                0.94335,               0.007723,               0.007723,               0.007723
                     49,                0.69978,                 1.3385,                 1.0524,                0.59513,                0.59668,                0.57802,                0.51986,                0.48859,                 1.4168,                0.94176,              0.0076735,              0.0076735,              0.0076735
                     50,                0.70326,                 1.3206,                 1.0573,                0.57394,                0.61377,                0.57765,                0.52038,                0.49506,                 1.4126,                0.94456,               0.007624,               0.007624,               0.007624
                     51,                0.69632,                 1.3098,                 1.0498,                0.59852,                0.59794,                0.58556,                0.53069,                0.49415,                 1.4034,                0.94306,              0.0075745,              0.0075745,              0.0075745
                     52,                  0.688,                 1.2887,                 1.0455,                0.63008,                0.57375,                0.58784,                0.53028,                0.49016,                 1.3913,                 0.9398,               0.007525,               0.007525,               0.007525
